Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05 14:30:00+00:00,632.260009765625,637.9500122070312,626.5374755859375,637.405029296875,5471038,1084.93994140625,1088.3599853515625,1073.3701171875,1086.5450439453125,638609,248.80499267578125,249.24000549316406,246.16000366210938,248.60000610351562,6485371,268.5899963378906,269.58990478515625,266.92999267578125,269.0101013183594,7995553,279.3800048828125,285.41180419921875,277.8800048828125,283.7087097167969,3637033
2025-11-05 15:30:00+00:00,637.405029296875,639.2244873046875,634.17041015625,637.530029296875,1720907,1086.3900146484375,1090.199951171875,1084.104248046875,1089.074951171875,223480,248.58999633789062,249.17999267578125,247.71099853515625,249.10000610351562,2756468,268.989990234375,270.3800048828125,268.760009765625,270.2900085449219,2169435,283.69500732421875,284.82501220703125,282.6600036621094,283.9800109863281,1199056
2025-11-05 16:30:00+00:00,637.5444946289062,640.9500122070312,636.4500122070312,637.3350219726562,1304419,1089.1199951171875,1100.8199462890625,1085.0999755859375,1097.364990234375,402528,249.08999633789062,249.85000610351562,248.67999267578125,249.80999755859375,2535880,270.2799987792969,270.4700012207031,269.5,269.9700012207031,1631841,284.0,285.30499267578125,283.32501220703125,283.5299987792969,1146936
2025-11-05 17:30:00+00:00,637.260009765625,642.030029296875,637.1599731445312,641.4099731445312,970573,1097.364990234375,1099.6099853515625,1089.6500244140625,1092.6600341796875,215834,249.8000030517578,251.0,249.4949951171875,249.97000122070312,2539301,269.9700012207031,270.7900085449219,269.92999267578125,270.1199951171875,1426592,283.5799865722656,283.9547119140625,283.1099853515625,283.864013671875,816093
2025-11-05 18:30:00+00:00,641.4202270507812,642.22998046875,637.8300170898438,638.02001953125,965574,1092.5,1096.1800537109375,1092.0999755859375,1093.2015380859375,151367,249.9600067138672,250.68499755859375,249.10000610351562,249.12060546875,1955108,270.1099853515625,271.70001220703125,269.7699890136719,270.42999267578125,2651761,283.885009765625,286.67999267578125,283.3294982910156,284.4200134277344,1827084
2025-11-05 19:30:00+00:00,638.0,640.5399780273438,637.8400268554688,639.0850219726562,767836,1093.155029296875,1095.4698486328125,1091.3189697265625,1093.9595947265625,165530,249.11000061035156,249.52499389648438,248.41000366210938,248.44000244140625,2222542,270.4100036621094,271.5,269.5299987792969,269.6000061035156,2282746,284.3900146484375,284.81939697265625,283.4599914550781,284.4100036621094,1022565
2025-11-05 20:30:00+00:00,639.1500244140625,639.780029296875,636.0,636.0,1111441,1093.8299560546875,1099.5,1093.5,1098.4599609375,286006,248.44000244140625,250.85000610351562,248.39089965820312,250.24000549316406,3985436,269.6099853515625,270.3999938964844,268.9949951171875,270.1099853515625,3567904,284.42999267578125,285.3900146484375,284.385009765625,284.7799987792969,1536190
2025-11-06 14:30:00+00:00,635.75,635.8499755859375,622.239990234375,625.0599975585938,4539909,1095.1400146484375,1099.0050048828125,1085.75,1093.06396484375,499328,249.22000122070312,250.3800048828125,246.5800018310547,247.1595001220703,7131629,267.8900146484375,272.82000732421875,267.8900146484375,272.82000732421875,6762187,285.7349853515625,288.80999755859375,284.2699890136719,285.2099914550781,4960015
